goal,foul,corner,offside,yellow_card,red_card,penalty,fastbreak,attempt_1,attempt_2,attempt_3,attempt_4,attempt_5,attempt_6,attempt_7,attempt_8,attempt_9,attempt_10,attempt_11,attempt_12,attempt_13,attempt_14,attempt_15,attempt_16,attempt_17,attempt_18,attempt_19,country
3,21,11,4,2,0,0,0,0,0,2,0,0,0,0,0,3,0,3,2,2,0,11,1,1,0,1,france
1,31,10,6,3,0,0,0,0,0,10,0,0,0,0,0,1,0,2,1,1,0,9,0,0,0,0,spain
6,20,10,8,6,0,1,0,0,0,10,0,0,0,0,1,2,2,2,0,0,1,18,0,0,0,0,spain
4,26,5,8,6,1,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,5,0,0,0,1,france
1,28,11,10,3,0,0,0,0,0,7,0,0,1,0,0,5,1,2,0,2,0,7,0,1,0,0,france
2,19,7,6,6,0,0,0,0,0,4,0,0,0,0,1,1,1,2,1,0,0,7,0,0,0,0,france
3,19,5,2,4,0,0,0,0,0,15,0,0,0,0,0,2,2,3,1,1,0,12,0,1,0,0,0
4,28,10,10,3,0,0,0,0,0,11,0,0,0,1,0,2,1,5,2,0,0,9,1,1,0,1,france
1,22,17,8,6,0,0,0,0,0,11,0,0,0,1,3,1,0,2,0,0,0,11,0,0,0,0,france
7,15,12,3,0,0,2,0,0,0,8,0,0,0,0,0,0,0,3,0,1,1,14,0,0,0,0,germany
4,23,3,13,6,1,2,0,0,0,4,0,0,0,2,1,3,0,1,1,0,2,6,0,1,0,0,spain
3,20,13,7,1,0,0,0,0,0,7,0,0,0,1,1,2,0,0,2,1,0,9,2,1,0,0,0
2,25,16,4,8,0,0,0,0,0,8,0,0,1,0,0,4,0,1,0,1,0,14,0,0,0,0,0
4,23,8,7,3,0,0,0,0,0,9,0,0,0,0,1,2,0,0,0,2,0,9,0,0,0,0,0
4,38,11,12,0,0,1,0,0,0,6,0,0,0,0,0,3,0,4,0,0,1,10,0,0,0,1,germany
0,37,8,3,5,0,0,0,0,0,4,0,0,0,0,1,3,0,2,0,0,0,12,0,0,0,0,0
4,23,9,4,7,0,0,0,0,0,9,0,0,1,0,1,2,1,3,1,1,0,9,0,1,0,0,0
3,34,14,4,5,0,0,0,0,0,9,0,0,1,1,0,0,0,4,1,0,0,14,1,0,0,0,spain
0,21,7,3,3,0,0,0,0,0,7,0,0,0,0,0,3,1,2,1,1,0,11,0,2,0,0,france
7,27,11,5,5,0,1,0,0,0,9,0,0,1,1,0,1,0,1,0,0,1,19,0,0,0,1,italy
3,36,5,6,3,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,3,0,11,0,0,0,0,0
4,34,6,9,4,0,0,0,0,0,9,0,0,0,0,0,2,1,3,0,0,0,10,0,0,0,0,0
0,30,7,3,6,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,12,0,1,0,0,spain
3,35,12,6,4,0,0,0,0,0,9,0,0,0,0,0,1,0,3,0,2,0,3,0,0,0,0,germany
5,24,5,7,2,1,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,0,italy
1,25,12,7,6,0,0,0,0,0,9,0,0,0,0,1,2,0,5,1,1,0,13,0,0,0,0,spain
2,26,13,9,3,0,0,0,0,0,12,0,0,0,1,1,4,0,1,1,0,0,12,0,1,0,0,italy
1,19,6,3,4,0,0,0,0,0,8,0,0,1,1,0,1,1,2,0,0,0,21,0,0,0,0,france
0,26,4,4,8,0,1,0,0,0,7,0,0,0,0,2,3,0,1,0,2,1,11,0,0,0,0,spain
0,36,8,5,6,0,0,0,0,0,3,0,0,0,1,0,1,0,2,1,0,0,5,0,0,0,0,italy
3,25,9,6,5,1,0,0,0,0,6,0,0,1,1,0,0,1,3,0,0,0,13,0,1,0,0,italy
3,35,7,15,6,1,2,0,0,0,5,0,0,0,0,0,5,1,2,0,0,2,7,0,1,0,0,germany
2,31,12,6,2,0,0,0,0,0,4,0,0,1,0,1,2,0,2,0,0,0,18,1,0,0,0,italy
1,29,10,4,6,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,18,0,0,0,0,france
3,38,11,2,7,0,0,0,0,0,5,0,0,1,0,0,2,0,4,3,1,0,12,1,1,0,0,0
1,31,11,7,3,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0
1,28,8,4,5,0,0,0,0,0,10,0,0,0,0,0,1,1,2,1,1,0,9,0,0,0,0,0
1,30,12,1,6,0,0,0,0,0,6,0,0,1,0,0,4,0,2,1,2,0,10,1,0,0,0,0
4,34,9,3,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0
2,25,12,3,2,1,0,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,14,0,1,0,0,0
0,27,11,1,2,0,0,0,0,0,6,0,0,0,1,0,1,0,6,0,0,0,16,0,0,0,0,0
3,38,9,10,5,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,18,0,0,0,0,italy
8,20,11,8,7,0,0,0,0,0,9,0,0,1,1,0,3,1,2,0,1,0,6,0,0,0,1,spain
4,22,12,4,6,0,1,0,0,0,7,0,0,0,0,1,1,0,2,1,2,1,8,0,0,0,0,0
5,26,5,9,5,1,0,0,0,0,7,0,0,1,0,1,2,0,2,0,3,0,8,0,1,1,0,0
4,29,10,8,4,1,0,0,0,0,5,0,0,0,1,1,0,1,3,1,1,0,11,0,0,0,0,0
5,36,7,3,4,1,2,0,0,0,12,0,0,0,0,0,2,1,1,0,2,2,11,0,0,0,0,france
3,20,15,5,3,0,0,0,0,0,4,0,0,0,0,1,1,1,2,1,2,0,8,2,0,0,0,france
1,30,10,8,5,0,0,0,0,0,6,0,0,0,0,0,2,0,1,1,0,0,6,0,1,0,0,germany
4,42,6,4,7,1,0,0,0,0,6,0,0,0,0,0,1,0,1,1,2,0,16,0,0,0,0,france
4,32,8,6,2,0,0,0,0,0,7,0,0,1,0,0,3,1,1,0,2,0,11,0,0,0,1,0
4,33,5,2,6,1,0,0,0,0,8,0,0,1,0,0,0,0,3,1,1,0,12,0,0,0,0,germany
2,34,9,6,6,0,0,0,0,0,7,0,0,0,0,0,4,0,2,0,2,0,4,0,1,0,0,france
2,26,11,5,5,0,0,0,0,0,8,0,0,0,0,0,2,1,0,0,0,0,17,0,0,1,0,italy
4,29,12,7,5,0,1,0,0,0,10,0,0,2,0,0,1,1,1,0,2,1,13,0,1,0,0,france
3,32,7,3,8,0,1,0,0,0,6,0,0,1,0,0,1,0,2,0,1,1,14,0,0,0,0,spain
2,31,7,3,2,0,0,0,0,0,8,0,0,0,0,0,3,0,2,0,0,0,11,0,1,0,0,germany
2,25,7,7,5,0,1,0,0,0,4,0,0,0,0,1,1,0,4,0,1,1,9,0,0,0,0,italy
3,28,2,8,6,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,10,1,0,0,0,0
1,31,13,9,8,0,0,0,0,0,6,0,0,1,0,0,0,0,3,0,0,0,6,0,0,0,0,0
3,20,10,8,1,1,0,0,0,0,7,0,0,0,0,0,0,2,3,0,2,0,11,0,1,0,0,0
1,21,9,4,7,0,0,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,11,0,1,0,0,0
3,26,8,10,3,0,0,0,0,0,10,0,0,0,0,0,3,0,0,1,0,0,9,0,0,0,0,0
4,29,10,2,11,1,2,0,0,0,16,0,0,1,0,0,2,0,1,0,1,2,9,0,1,0,1,0
2,26,8,3,7,0,1,0,0,0,9,0,0,0,0,0,2,0,5,0,0,1,7,1,0,0,0,france
1,28,6,4,2,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,10,0,0,0,0,italy
4,28,9,6,5,0,1,0,0,0,6,0,0,2,0,0,3,0,3,0,0,1,6,0,0,0,0,spain
1,36,9,2,13,0,0,0,0,0,6,0,0,0,0,0,3,0,4,0,0,0,12,0,0,0,0,spain
1,26,10,7,6,0,1,0,0,0,4,0,0,0,0,0,2,0,1,0,1,1,7,0,0,0,0,italy
1,26,9,2,7,0,0,0,0,0,6,0,0,2,0,1,3,2,0,0,0,0,15,0,0,0,0,spain
2,21,5,6,3,0,0,0,0,0,4,0,0,0,0,0,7,0,1,0,0,0,10,0,0,0,0,spain
0,29,8,8,5,0,0,0,0,0,9,0,0,0,0,1,2,0,0,0,1,0,10,2,1,0,0,spain
2,46,11,3,6,0,2,0,0,0,6,0,0,0,0,1,3,0,1,1,2,2,8,0,0,0,0,france
4,21,10,6,5,1,1,0,0,0,6,0,0,0,0,0,2,0,2,0,0,1,14,0,0,0,0,italy
4,17,7,14,5,1,0,0,0,0,6,0,0,0,1,1,1,0,1,0,1,0,8,0,0,0,1,spain
3,29,11,6,3,0,0,0,0,0,10,0,0,0,0,0,4,0,4,0,2,0,9,1,0,0,0,italy
2,19,6,7,5,0,0,0,0,0,5,0,0,0,0,0,1,1,1,1,0,0,10,2,0,0,0,france
2,28,7,3,4,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,1,0,9,1,1,0,0,france
5,26,6,4,6,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,13,0,0,0,2,italy
4,32,13,4,6,0,0,0,0,0,11,0,0,1,0,0,4,0,1,1,0,0,3,1,0,0,1,spain
3,23,9,11,4,0,1,0,0,0,9,0,0,0,0,0,2,0,2,0,0,1,6,0,0,0,0,italy
4,34,12,8,8,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,france
2,27,5,5,4,0,0,0,0,0,15,0,0,0,0,0,3,1,2,0,0,0,12,1,0,0,0,italy
0,35,12,4,8,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,15,0,1,0,0,spain
2,35,17,6,10,0,0,0,0,0,8,0,0,0,1,0,2,0,5,0,0,0,15,0,0,0,0,italy
2,37,6,8,9,0,0,0,0,0,9,0,0,0,0,0,3,0,2,0,0,0,15,0,0,0,0,france
1,31,12,5,4,0,0,0,0,0,3,0,0,2,0,0,2,1,1,0,0,0,11,0,0,0,1,spain
1,19,7,5,4,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,11,0,1,0,0,italy
3,23,10,2,8,0,3,0,0,0,5,0,0,0,1,0,1,1,1,0,0,3,11,1,0,0,0,france
3,23,11,3,4,1,1,0,0,0,4,0,0,0,0,1,2,0,2,0,1,1,12,0,0,0,0,spain
3,26,10,3,4,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,1,0,14,2,0,0,0,italy
2,31,10,2,4,0,0,0,0,0,2,0,0,1,1,0,4,1,1,0,0,0,8,0,0,0,0,france
8,25,8,1,3,0,2,0,0,0,12,0,0,0,0,0,1,2,5,0,1,2,4,0,0,0,0,france
1,27,11,3,4,1,1,0,0,0,10,0,0,0,1,0,1,0,2,1,1,1,13,1,0,0,0,france
3,29,8,4,7,1,1,0,0,0,3,0,0,0,1,1,3,0,3,0,0,1,10,0,0,0,0,italy
7,19,12,8,2,1,2,0,0,0,9,0,0,0,1,0,3,0,2,0,1,2,11,0,1,0,0,0
2,19,11,9,2,0,0,0,0,0,3,0,0,0,1,2,2,0,3,0,3,0,14,0,0,0,0,italy
1,36,10,6,6,0,0,0,0,0,11,0,0,0,0,0,0,1,3,0,0,0,9,0,1,0,0,spain
3,33,10,5,2,0,0,0,0,0,6,0,0,0,0,0,3,0,2,0,0,0,19,1,1,1,0,germany
2,35,9,3,2,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,22,0,0,0,0,france
1,29,13,9,4,0,0,0,0,0,4,0,0,1,0,0,1,0,4,0,0,0,7,0,0,0,0,italy
4,32,8,4,4,0,1,0,0,0,7,0,0,0,0,0,0,1,3,2,1,1,10,0,0,0,0,0
3,20,12,9,1,0,0,0,0,0,10,0,0,0,0,0,3,0,4,0,0,0,13,0,0,0,0,0
6,24,6,1,8,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,1,france
1,32,7,3,4,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,2,0,9,0,0,0,0,france
0,20,13,2,5,0,0,0,0,0,3,0,0,0,0,0,3,1,1,0,2,0,11,0,0,0,0,0
2,21,8,7,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,0,6,1,0,0,0,0
